review_number,guest_name,visit_date,satisfaction_score,feedback_comments,venue_location,restaurant_name,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
jE2zHov_2Eii9XrrmkSV5g,Guest_8332,2012-06-28,3.0,,Eastside,The Bricks,24.51,2.98,12.2,4,65+,Male,Asian
IdUkBQcMt0460g5W1LCZmg,Guest_8418,20.01.2014,4.0,,Eastside,The Bricks,35.3,6.99,19.8,1,26-35,Non-binary,African American
fRdKsfvptL0A4aFfVPkZQQ,Guest_8126,06.10.2013,5.0,"Came hungry and left full but not stuffed. The goodness wrap was named appropriately. Hummus with cucumber, tomato, lettuce, feta cheese and I added avocado was very flavorful. No need for any sauce of any kind. Had the potato salad as a side and though it was a bit bland, added a little salt to it, it was still good. Glad they don't add mayo to it and tasted home made for sure. Nice ambience too, decorated for Halloween. I'm not a fan of TV's while dining, but will always give a pass when they have good tunes playing so don't have to listen to TV. Only saw 2 servers on but it wasn't that busy on this Sunday afternoon. Server was knowledgeable and personable so not sure why others complained about rudeness. Saw none of that.",Eastside,The Bricks,15.5,1.37,8.9,2,36-45,Female,Other
ELbCs-aC8mAxrAEu36Hihw,Guest_9108,10/13/2014,4.0,"Cute place, got there too late to eat,the drinks were good though, they have fresh ingredients and crushed ice!only bar in ybor I've seen with fresh things and a wide selection of booze",Eastside,The Bricks,33.01,6.25,18.9,8,,Prefer not to say,Asian
4ywDqRoYjy16Z_UFox0qTg,Guest_5466,22.07.2012,1.0,"Food is terrible. Nacho dip was covered in there advacado cream dressing which was bad. Very sloppy. The pesto grilled cheese, was covered in way too much pesto. Again very sloppy. Overall bad food, chef must be high or something. Oh and found a few ants crawling up my leg. 
Will never come back.",Eastside,The Bricks,66.45,10.47,15.7,3,26-35,Non-binary,Other
F4_DYi_7czpyLMrErrKaQg,Guest_6487,2011-08-01,5.0,"We cam here for my wife's birthday this year that also just so happens to be Cinco De Mayo. We didn't want to go to a mexican joint so we chose the Bricks after reading some specials that they had going online. I have to say it was a good night and a lot of fun. Good drinks as well as food. Great ambiance, this is an older building in Ybor that they really did a great job of restoring. These guys are always having great food and happy hour specials. You won't be disappointed.",Eastside,The Bricks,5.0,0.83,16.5,1,,Non-binary,Mixed
8PtU0lutz85WqmKOhTY-3w,Guest_7207,2017-03-16,1.0,"Went here for lunch. Ordered the pork rice bowl. My food took forever to be served. Then it was cold. The server took it back offering me a NEW order to be cooked. My food came back quickly, it was the same good and the exact same temperature. I wasn't offered a NEW order, however I was asked if I'd like something else, I declined.  
Terrible service, manager was never sent over while I sat and watched my colleagues eat their lunch!",Eastside,The Bricks,14.15,3.61,25.5,2,56-65,Male,Other
siwaa7bmNx91IxRVWwhp3g,Guest_2046,2014-05-29,4.0,,Eastside,The Bricks,19.24,0.0,0.0,2,65+,,African American
C5VBfvKrFBGl7uhEONk8OA,Guest_3234,2017-02-09,,,Eastside,The Bricks,21.02,2.92,13.9,2,56-65,Prefer not to say,African American
N1BiMP9r3IsmEzChi9PPwA,Guest_1872,23.02.2011,4.0,,Eastside,The Bricks,22.83,9.13,40.0,1,65+,Male,Asian
P3PXmTyL5hzvqaCdJGk90w,Guest_5007,2015-11-18,5.0,"The Bricks of Ybor is a restaurant, bar, and coffee bar in Ybor City and also has live music and special events at times. It is affiliated with the SkatePark of Tampa (SpoT) which has a shop next door and there are skateboard decks mounted on the walls of The Bricks as artwork and they play skate videos on the TVs above the bar; as I'm a skater myself, this is if anything just the icing on the cake for me. 

However, The Bricks' ardent support of skateboarding would not be enough to garner a five-star review alone, but thankfully it measures up in all other regards. The interior atmosphere is lively, inviting, and unique. The waitstaff and bartenders are on point, outgoing, friendly, and most importantly, quite prompt. As to the food, it's fairly simply fare but very tasty and very well-prepared. Tacos, a variety of Cuban sandwich variants, and some salads compose the lion's share of the menu. I had the Bird & Pig Cuban sandwich and also an order of chips and queso dip. The queso was especially good, which impressed me because too often things like queso are simply after-thoughts at bar-type restaurants. The sandwich itself was also very good. They have a full bar with a good selection of bourbons and ryes and also an expectedly good selection of beer, with an emphasis on Tampa's local brews. The wine list also looked better than you'd think for a casual bar atmosphere. Overall, it's clear they're investing in quality here. 

While their skateboarding association was enough to grab my attention to The Bricks, their stellar food and service are what really sets them apart. Ybor has a reputation for food being hit or miss, as is the case with many touristy areas, but The Bricks I found to be simply and casual yet truly impressive.",Eastside,The Bricks,20.65,3.57,17.3,6,36-45,Non-binary,Mixed
zs4OcjXPJOkdhKV_CtRgpQ,Guest_7543,2014-06-11,4.0,,Eastside,The Bricks,,1.87,19.6,2,65+,Non-binary,
RNtIj-FjLZFmGAp2Wy607A,Guest_7481,12/05/2012,4.0,"I went to this place for the first time last Saturday. I just wanted a place to grab some brunch that had mimosas and my friend suggested here. Boy am I glad she did!

Besides the crazy run in with a hard core group of strangers doing a running/fitness challenge, the staff there was really really friendly. Our server was very friendly and he even gave us free Appletinis on him!

I had the deluxe grilled cheese and it was really really good. 

The decor was awesome and I'm definitely going back and bringing friends!",Eastside,The Bricks,22.27,3.83,17.2,6,46-55,Prefer not to say,Native American
oX3VSZ2WBLd-mKidL87Q5g,Guest_8649,05/19/2018,4.0,,Eastside,The Bricks,17.92,4.23,23.6,4,46-55,Male,Native American
ELbCs-aC8mAxrAEu36Hihw,Guest_2438,10/13/2014,,"Cute place, got there too late to eat,the drinks were good though, they have fresh ingredients and crushed ice!only bar in ybor I've seen with fresh things and a wide selection of booze",Eastside,The Bricks,28.06,11.22,40.0,2,,Prefer not to say,Native American
R_A16STMTt2oZGmpH0R0lA,Guest_9645,09/12/2012,3.0,"We went at a slow time on a weekday afternoon for a late lunch because we were all wanting sandwiches. So between us all we had: the Bird & Pig, BBQ quesadilla, ahi BLT, clubhouse and kids pbj. All the sandwiches were great! Service was a bit slow though. If I was in the area again I may try again but I would not go out of my way to eat here.",Eastside,The Bricks,24.68,6.05,24.5,2,65+,Male,Mixed
dYKjSQ9ITqPgzkyglOGrJQ,Guest_1813,05.04.2018,5.0,,Eastside,The Bricks,39.28,11.78,30.0,4,65+,Non-binary,Asian
IgVIc163TZ4xbJqfUKdnRw,Guest_7729,21.10.2015,5.0,,Eastside,The Bricks,,3.78,19.4,4,26-35,Female,
6W_KEeCPnxjcuD6u4UXi0Q,Guest_7589,06/18/2017,5.0,"Came for Father's day brunch, and will definitely come back. great selection of vegetarian food.  Veggie Cuban and cheese grits were awesome. .and service was so good!",Eastside,The Bricks,,3.66,16.6,2,,,Hispanic
P3PXmTyL5hzvqaCdJGk90w,Guest_8522,18.11.2015,5.0,"The Bricks of Ybor is a restaurant, bar, and coffee bar in Ybor City and also has live music and special events at times. It is affiliated with the SkatePark of Tampa (SpoT) which has a shop next door and there are skateboard decks mounted on the walls of The Bricks as artwork and they play skate videos on the TVs above the bar; as I'm a skater myself, this is if anything just the icing on the cake for me. 

However, The Bricks' ardent support of skateboarding would not be enough to garner a five-star review alone, but thankfully it measures up in all other regards. The interior atmosphere is lively, inviting, and unique. The waitstaff and bartenders are on point, outgoing, friendly, and most importantly, quite prompt. As to the food, it's fairly simply fare but very tasty and very well-prepared. Tacos, a variety of Cuban sandwich variants, and some salads compose the lion's share of the menu. I had the Bird & Pig Cuban sandwich and also an order of chips and queso dip. The queso was especially good, which impressed me because too often things like queso are simply after-thoughts at bar-type restaurants. The sandwich itself was also very good. They have a full bar with a good selection of bourbons and ryes and also an expectedly good selection of beer, with an emphasis on Tampa's local brews. The wine list also looked better than you'd think for a casual bar atmosphere. Overall, it's clear they're investing in quality here. 

While their skateboarding association was enough to grab my attention to The Bricks, their stellar food and service are what really sets them apart. Ybor has a reputation for food being hit or miss, as is the case with many touristy areas, but The Bricks I found to be simply and casual yet truly impressive.",Eastside,The Bricks,18.9,7.56,40.0,3,,Non-binary,Other
R_A16STMTt2oZGmpH0R0lA,,12.09.2012,3.0,"We went at a slow time on a weekday afternoon for a late lunch because we were all wanting sandwiches. So between us all we had: the Bird & Pig, BBQ quesadilla, ahi BLT, clubhouse and kids pbj. All the sandwiches were great! Service was a bit slow though. If I was in the area again I may try again but I would not go out of my way to eat here.",Eastside,The Bricks,,5.78,35.0,1,26-35,Non-binary,Asian
asr6SiNjIrpTrGwMeBp9Pg,,2015-07-03,5.0,,Eastside,The Bricks,21.96,4.38,19.9,2,18-25,Prefer not to say,Hispanic
uVRXElOZDBO2TXq_gveXYA,Guest_5710,21.03.2013,5.0,"Where do i start with this place!
I love that they have local art on the walls/ always doing art shows 

the staff that works there always rocking smiles talking to all the guess a all around good atmosphere vibe

I tip my hat to the head chef (Chef Ben) The food is always on point and i like when the cooks yell ""ORDER UP"" hahaha 

I can wright a book about how awesome this place is 

KEEP UP THE GOOD WORK and SEE YOU SOON!",Eastside,The Bricks,41.37,6.08,14.7,3,,Prefer not to say,Hispanic
De-IwBjVk0Rkn1mGQ8GIbQ,Guest_8265,12/06/2011,5.0,"A must when you are in Ybor. I ate and drank here multiple times a day for my 5 day trip to Tampa. Every single meal was spectacular. The Skinny bitch latte is perfect to start the day. The proper grilled cheese is amazing, just wish they would have tomato soup to go along with it. And you can't find better bartenders anywhere else in town.",Eastside,The Bricks,11.97,3.11,25.9,2,,Male,African American
TU-0T2GWAAW4GBI68LNt-A,Guest_6829,07.05.2016,3.0,"Wanted to try the pig and bird sammich but when I got there I decided on the Pacific Rim. The Asian slaw and bbq theme was too much to pass up. I thought the sandwich was really good and had a nice balance to it. I got chips and queso as my side but with this sandwich fries would have been the go to. They don't have fries so you'll have to choose something else. 

Service at the bar was really good, there were multiple people that helped me during my meal. One thing is they were out of three of the beers I wanted right off the bat. 

Pretty cool vibe in the place and people just hanging with friends having drinks and food.",Eastside,The Bricks,8.69,1.28,14.7,4,18-25,Prefer not to say,African American
0XuENPl2FwekIfu9M-1jDw,Guest_4964,09/03/2018,1.0,,Eastside,The Bricks,,3.11,23.0,1,46-55,Male,African American
L35Awd7K5slzNlEAI6H8xQ,Guest_8153,2016-04-01,4.0,It's a beer pub so don't go to eat a meal. Beer was great but not all of them were available at the time I visited [April] so....??,Eastside,The Bricks,19.68,3.33,16.9,2,18-25,Prefer not to say,Caucasian
RDpU2WQuBhhCWPJWojmFvw,Guest_8432,07.01.2012,4.0,"The husband and I had a kid free day so we decided to have a (gasp) lunch date.

 We picked The Bricks because...well why the hell not.  As soon as we walked in I loved the place.  It was bright and cozy at the same time.  The staff was super friendly and we got the vibe that we could hang out all day if we wanted.

I ordered the most delicious ""adult"" coffee to drop kick the sleepiness out of my head.  The coffee was SUPER yummy and the liquor did the trick.

It took me a while to figure out what I wanted to eat because everything on the menu looked soooo good and I was super hungry.  In the end, I decided on the Harvest Grill Cheese Sandwich.....nom nom noom.....I was not dissappointed.  It hit the spot and filled my belly with melty cheesy goodness.  The bread was fresh, crunchy, tender and tasty.  The sandwich innards were porportioned perfect.  The Gouda, bacon and apple playing off each other in perfect harmony.

GO HERE AND EAT!  I cannot wait to go again and feel this will be a staple on our lunch resturant list.  Even if your not hungry this would be a wonderful place to have a drink and just chill day or night.

Thanks Bricks for a great lunch!",Eastside,The Bricks,19.82,3.86,19.5,2,56-65,Female,African American
4lpkYTTdzqMuaZ4qoLlUgA,Guest_1273,07/01/2011,5.0,"Great, laid-back atmosphere, terrific food. The ahi was good quality, as were the hummus and curry dip. We're going back for the peanut butter sandwiches.",Eastside,The Bricks,19.78,4.54,22.9,3,36-45,Non-binary,Native American
dYKjSQ9ITqPgzkyglOGrJQ,Guest_8247,04/05/2018,5.0,1st time we've tried The Bricks. So yummy!!! I had the Blackened Shrimp Salad and my husband had Sammy Tuna. We both loved every bite. Looking forward to eating there again.,Eastside,The Bricks,,2.5,14.0,5,,Female,Hispanic
ceZuAvgL5kULPFX4PFjIUg,Guest_6477,2017-08-18,5.0,Busy and noisy at 12:30 lunch on a Tuesday.   Quieter by one.  Nice interior gastropub.  My pork and arugala slaw sandwich was good.  It came on a bun that was soft enough to pull apart easily.  When I did so the levels stayed together.  The texture and taste of both the sandwich and the slighly curried potato salad side were good.  I found myself enjoying the overall experience and reluctant to leave.  A good value at less than $10.,Eastside,The Bricks,,1.92,23.1,3,,Non-binary,Hispanic
KIA9s_8qZEtuSjIFdjBwYQ,Guest_6291,06/29/2014,,,Eastside,The Bricks,17.69,3.58,20.2,2,,,Caucasian
eNHgYkJwmuM0Gg42AL6V6Q,Guest_4674,01/31/2017,1.0,"If you're immune to salmonella poisoning then this is the perfect place for you! Very overpriced, minimum effort in providing authentic food NOT out of a can. They undercook the chicken and it taste like refrigerator. Please don't waste your hard earned cash on half assed food. Unless you just want drinks and a good time with friends, don't come here.",Eastside,The Bricks,29.46,0.0,0.0,3,,Female,Caucasian
hQz9UnbHvv3ctllRquULuQ,Guest_9851,04/18/2015,5.0,"This is where the cool kids hang and there's reasons for it. The beer and the food! Tons of vegetarian and even vegan options.
I'm not either but I do love that black bean burger and the salads are to die for.
The staff is great and always sweet and accommodating. 
The place is usually filled with great art and an eccentric lot of people. I gave this place five stars because I would be lying if I said I didn't love this place. It's my vibe.
It can be yours also.
Yup! Just referred to myself as a cool kid.:D",Eastside,The Bricks,,4.74,11.3,3,18-25,Prefer not to say,Native American
svHZLGNpGq3BvqCkeKI56g,Guest_5416,2017-01-29,1.0,"We waited an hour for our food.  No coffee refills the entire time.  We saw our food souring in the window for 20 minutes.  When we finally left the server said it couldn't be helped.  No apologies, no service, no food, no tip.",Eastside,The Bricks,,1.87,16.0,2,18-25,Female,Mixed
OWqNO-H7eAWJH7hsQfO0_A,,10/17/2016,5.0,,Eastside,The Bricks,9.95,3.98,40.0,1,,,
xFxilqzpu6Xac1admnl7MA,Guest_8281,2015-09-28,4.0,"I dig the art and the choices on the menu.

Skanky Chai is pretty good. 

The Elvis was pretty awesome. Peanut butter, bacon, and bananas on cuban toast. 
That sounds a lot like something I would drool over.

Nice!",Eastside,The Bricks,19.36,3.92,20.2,6,36-45,,Hispanic
OgVW9QTtF4aAHFTTc0x2rA,Guest_1937,02/22/2013,3.0,"I had high expectations when I went to this place recently after some recommendations from friends.  We visited on a night when there weren't very crowded so it was nice to be able to have such an attentive waitress and service.  I was a bit disappointed when I didn't find as much on the menu as I would have liked to have seen that would appeal to me.  I guess I have become very picky with my Yelp addiction in terms of scrutinizing every establishment I go to pretty thoroughly.  

I ordered the hummus appetizer for the table and was very pleased at the quality of the dish.  For my entree I ordered their Bricks Salad which had plenty of fresh produce packed in.  I ordered a double portion of chicken for it, which still seemed pretty skimpy especially since I was charged for that request.  Overall, I'd say this is probably one of Ybor's lesser known spots as its more on the western edge of the main strip, yet it seems very lively and upbeat.  I did like that they had featured lots of artwork by various local artists that were on display and offerred for sale.  Not a bad place to hang out and have a drink if you're looking for a lower key outing in the Ybor area.",Eastside,The Bricks,22.76,2.88,12.7,2,65+,Non-binary,Hispanic
ceZuAvgL5kULPFX4PFjIUg,Guest_7156,08/18/2017,,Busy and noisy at 12:30 lunch on a Tuesday.   Quieter by one.  Nice interior gastropub.  My pork and arugala slaw sandwich was good.  It came on a bun that was soft enough to pull apart easily.  When I did so the levels stayed together.  The texture and taste of both the sandwich and the slighly curried potato salad side were good.  I found myself enjoying the overall experience and reluctant to leave.  A good value at less than $10.,Eastside,The Bricks,27.53,5.86,21.3,1,46-55,Male,Native American
IdUkBQcMt0460g5W1LCZmg,Guest_3445,20.01.2014,4.0,"The Bricks is a hipster haven, but don't let that deter you if you don't wear non-prescription glasses and flannel. I'm always the least cool person in here and no one seems to mind. (Although maybe I AM cool -- last time I was here the DJ was playing Hall & Oates most likely to be ironic, but I  genuinely enjoyed it.)

The menu is mostly sandwiches and some salads. It's all about the Bird & Pig sandwich. I have a hard time straying from this delicacy of chicken, bacon, brie, and apples on pressed sweet bread. Sweet, check. Salty, check. Crunchy, check. 

Nice selection of local and craft brews, too.",Eastside,The Bricks,21.06,7.37,35.0,4,56-65,Female,Mixed
3FfhPCMT5T2e369qqYfV7g,Guest_5275,09/10/2015,4.0,,Eastside,The Bricks,20.24,3.52,17.4,1,,Male,
OWqNO-H7eAWJH7hsQfO0_A,,17.10.2016,5.0,,Eastside,The Bricks,23.85,4.3,18.0,4,,Female,Other
FWWE8HkUu42FgIfi2_FI-w,,01/02/2013,4.0,"Cheaper than the $$ rating by far, depending on your interests (I had the $5.50 grilled peanut butter and Gouda). And I didn't think the combination would work, but I was wrong. It's not my absolute favorite peanut butter sandwich, but it's tasty. Sadly, the ""peanut butter bars"" don't have as extensive a list of ingredients as they did when Brett N. visited.

I also tasted a forkful of Jodi's Greek salad (which was all that was left!), and that lemon-dill vinaigrette just made my ""next time we're here"" list.",Eastside,The Bricks,10.06,2.02,20.1,2,56-65,Male,Hispanic
DadAufR2brJtQCCq_NsPcQ,Guest_2114,2012-03-04,,,Eastside,The Bricks,12.55,3.06,24.3,2,,,Caucasian
N4J7LZI9eKDt4U0RLpWEww,Guest_1395,2017-03-30,5.0,"One of my favorite places to eat in Ybor! Good vibes, good food, and good drinks. Even their coffee is good! Service is a hit or miss, although most recently I have had consistent great service. And their veggie Cuban sandwich is amaaaazing!",Eastside,The Bricks,10.73,1.72,16.0,4,,,
cyVCkTAFWVqZnTPJfS2IUw,Guest_7319,05/08/2013,3.0,"We came here on a bustling Saturday. Needless to say, Bricks of Ybor was vacant. A few people were at the bar and some people were sitting outside. The service was subpar and the bartender must have had the worst day of her life. She hated everyone who asked to close their tab. Oh well. 

I should put a disclaimer that I hate Ybor. It brings me nothing but sorrow.",Eastside,The Bricks,24.0,5.43,22.6,2,18-25,Male,Mixed
NOTAXpx4vcngxjIXyhHBrg,Guest_8366,13.09.2012,4.0,"I love the Bricks! We live in Ybor and this is one of our favorite lunch spots. I always have a hard time selecting between two sandwiches - The Elvis which is a peanut butter, banana and bacon sandwich or the Bird and Pig - roasted chicken, bacon, brie, apple, pressed on a Hawaiian sweet roll. Bricks always offers weekly specials and featured drinks. The crowd is always fun and the staff is friendly.",Eastside,The Bricks,24.5,4.94,20.1,2,36-45,,Mixed
2a8_Q5XhjoQHaZ_KtISZuQ,Guest_1604,12/09/2012,4.0,,Eastside,The Bricks,7.38,1.54,20.9,1,,Male,Asian
ELbCs-aC8mAxrAEu36Hihw,Guest_8529,2014-10-13,,,Eastside,The Bricks,27.69,7.09,25.6,2,65+,,African American
2umV3kR4UxjuYV4wU7Qw1w,Guest_9600,2014-02-07,4.0,,Eastside,The Bricks,18.09,2.82,15.6,3,46-55,Female,Mixed
eNHgYkJwmuM0Gg42AL6V6Q,Guest_9177,31.01.2017,1.0,"If you're immune to salmonella poisoning then this is the perfect place for you! Very overpriced, minimum effort in providing authentic food NOT out of a can. They undercook the chicken and it taste like refrigerator. Please don't waste your hard earned cash on half assed food. Unless you just want drinks and a good time with friends, don't come here.",Eastside,The Bricks,21.49,4.17,19.4,2,26-35,Non-binary,Mixed
xZnk3q-AHjpN6aSR_6Sqhg,Guest_3907,11/02/2011,,"They have a super friendly staff and a simple modern decor.

I enjoyed the Six Degrees of Kevin Bacon exhibit on display.

I got a really young and hip vibe from this place, and the sandwiches are amazing!",Eastside,The Bricks,17.25,3.77,21.9,1,,Male,Hispanic
2umV3kR4UxjuYV4wU7Qw1w,Guest_4099,2014-02-07,4.0,"I've always thought the idea of apple on a sandwich (that didn't involve peanut butter) as completely preposterous, because sweet things do not belong on sandwiches! So what did I order at The Bricks? Naturally, the Bird and Pig - which features chicken, bacon, apple, brie and agave nectar. It was definetly sweet. And savory. And absolutely, positively to die for. I loved every scrumptious bite of it.... except for the dry chicken breast. I'm not sure if it was just old, but either way it was dry and disappointing. Next on the menu was the deluxe grilled cheese sandwich, which was all sorts of yummy cheese, smothering delicous garden fresh basil (wow!), spinach and tomato. The first bite of this sandwich was knock-your-socks-off. The basil really stands out and it definitely warranted an audible moan. The next few bites weren't as spectacular, but I still loved the sandwich. I'd go with the Bird and Pig again if I had to choose. While we waited, we treated our faces to black bean dip (suggested by the waiter) and we enjoyed it. If you like black bean dip, then you'll like this one. We washed all of that down with a glass of liquid heroin, and all was right with the world. The end. Oh, and the service - spot on. The place is cute, the staff is attentive, and it's clear this place easily doubles as a comfy daytime spot and a lovely night spot - if that's your kinda thing.",Eastside,The Bricks,15.61,1.53,9.8,2,26-35,Male,Asian
ceZuAvgL5kULPFX4PFjIUg,Guest_3172,2017-08-18,5.0,Busy and noisy at 12:30 lunch on a Tuesday.   Quieter by one.  Nice interior gastropub.  My pork and arugala slaw sandwich was good.  It came on a bun that was soft enough to pull apart easily.  When I did so the levels stayed together.  The texture and taste of both the sandwich and the slighly curried potato salad side were good.  I found myself enjoying the overall experience and reluctant to leave.  A good value at less than $10.,Eastside,The Bricks,10.4,1.98,19.0,1,65+,Prefer not to say,Mixed
BCLvpd08Ci4Tcq-fIRhZdA,Guest_5154,08.08.2017,2.0,"Leaving this 2-star review in response to the food, not the place as a drinking/hangout spot...although the wine was crap, too. 2-Stars awarded for the Nintendo 64 and all of the nostalgia-worthy games, the decent choice of drafts (even if they were out of the draft I ordered), and the great service from the staff. The food, on the other hand, will make you wish you had eaten at home. My wife and I went out as a treat because we didn't feel like cooking, but the majority of our food was sub-par. I got the shrimp po-boy which was not a po-boy by definition (it was just shrimp on a crappy sandwich...no French bread, no Cajun sauce or even enough Cajun seasoning, and the shrimp was obviously frozen-thawed not fresh). One of the shrimps was even gray when I bit into it, and the sandwich itself smelled more like old fish than fresh shrimp. My wife got the Athena chicken sandwich and that was just so-so, with the overwhelming taste of feta disguising the low-quality factory chicken they use for the sandwich. The best part of our collective meals was the mixed greens we ordered as a side, so I wouldn't exactly recommend ordering food here unless you're completely hammered and taste is not a priority.",Eastside,The Bricks,23.53,4.51,19.2,5,18-25,Male,African American
eoFZMOL0XJ9yF8sW3OChIw,Guest_4780,19.11.2017,,"Yummy food, good vibes, & nice service. Music wasn't too loud. Could hold a conversation without hearing everyone else's. 

I had the Bird & Pig (the way it comes) with the Mac & Cheese. 

I also had the Hukilau. Not a fan. It sounded sweeter than it was. Still giving it a 4 for the food service and atmosphere. It's not their fault I didn't like the alcohol. 

Had a quick bite of the nachos and may have to orders those for the table next visit.",Eastside,The Bricks,49.58,10.67,21.5,2,26-35,Female,African American
ss4LSp-dCCuhpxDrRH_GLQ,Guest_5536,10/28/2011,5.0,"I walk in, and they're playing the greatest hits of De La Soul throughout lunch. They could have been serving Big Macs and that gets you four stars alone. 

I order a grilled cheese sandwich, and it comes with apple, plums, and bacon on some delicious bread with tortilla chips. And it is sublime. The cheese is perfectly melted, and the goodies inside are covered in wonderful gooey dairy greatness. 

I order a cafe con leche while getting some work done on my laptop. It is flawlessly prepared by a lovely server, and I'm a coffee snob. And if I didn't get buried in work stuff, I was jonesing for one of those half-price martinis they serve on Thursdays.

Wonderful atmosphere (the skatepark staff makes it friendly and fun), great food, delicious coffee, a full bar, and lots of different options. This place is a total home run, and a can't miss for anyone in Ybor.",Eastside,The Bricks,,0.24,2.9,2,,Prefer not to say,Mixed
LyBfA_NGwBAqf0LqVsDBhw,Guest_8905,2012-05-29,,"Based this visit entirely upon previous Yelp reviews, which as usual we're spot on. Great atmosphere and feel to this place - Kind of an art house meets coffee house meets Animal House environment. Very unusual. In a good way. The service was relaxed, social and great. The beverages were delicious and the menu was quite interesting. 
I so wanted the food to be much better than it was. Tried the Bird and Pig, a specialty grilled cheese and a couple apps. Everything was good but not great. In truth, if I was judging on food alone, there would be three stars instead of four. But the atmosphere and the staff clearly deserved the extra star, and I'll head back to try some other items on the menu next visit.",Eastside,The Bricks,,2.3,16.5,6,56-65,Male,
eoFZMOL0XJ9yF8sW3OChIw,Guest_5057,19.11.2017,4.0,"Yummy food, good vibes, & nice service. Music wasn't too loud. Could hold a conversation without hearing everyone else's. 

I had the Bird & Pig (the way it comes) with the Mac & Cheese. 

I also had the Hukilau. Not a fan. It sounded sweeter than it was. Still giving it a 4 for the food service and atmosphere. It's not their fault I didn't like the alcohol. 

Had a quick bite of the nachos and may have to orders those for the table next visit.",Eastside,The Bricks,,9.87,22.3,5,65+,Male,Hispanic
qzgc5-lizZMqupW7ZR8qmQ,Guest_3587,28.07.2014,4.0,,Eastside,The Bricks,11.36,2.52,22.2,4,36-45,,Caucasian
TCzaF5Lj0NLoCQuIujEzJg,Guest_4054,30.11.2014,4.0,"We were greeted by a very pretty waitress that made us feel like we had chosen the right place. We were then turned over to a nice gentleman that took our orders with a polite smile. We are vegetarians and there were lots of options. We settled for the salsa and house made avocado sauce with corn chips  and we split their famous black star black bean burger... Yesss!! The food presentation was that of fine dining and the food was very pleasing to our pallets. 
We give The Bricks 4 stars and would recommend to anyone who plans to visit Tampa",Eastside,The Bricks,24.05,5.77,24.0,2,36-45,Female,Asian
dxp5wFqMeO2x3Rz-8km5Cw,Guest_5460,27.05.2017,,Where do I start: Phenomenal food Excellent Bartender - I didn't know what to drink and bartender created one to her liking Great Atmosphere Great music - DJ on Friday Night was awesome Even the free water in the beginning tasted amazingly Definitely would go again,Eastside,The Bricks,8.63,0.89,10.3,3,,Non-binary,Native American
miIwXNa5O-ILZaN_S3EH2g,Guest_8765,2014-02-24,4.0,"I'm definitely a fan.  The food/drinks are always stellar and while the staff is super friendly, the only issue with The Bricks is the time it takes to order/be served.  

It isn't like the servers are slow either, they are clearly working their assess off running from table to table, so maybe it is that people have called in sick the couple of times I've been in recently and they had to work twice as hard but a Sunday lunch shouldn't take 3 hours.  

Now that my complaining is out of the way, the restaurant itself is super groovy.  The kitchen is on full display so no crazy stories of chefs putting anything crazy into your food here.  And they look like they are having a great time while they prepare meals (whether they are or not, I love to see people enjoy what they do).  I normally get draft beer but their cocktails look really interesting and innovative.  

At lunch, I normally get the ""Goodness"" which is a hummus wrap and it comes with a choice of a side ($8).  Don't bother being wishy-washy on the side, get the Asian slaw, it is delicious, and if available I would order as a meal.  The wrap was good but the star was the slaw.  Thai, pea-nutty, goodness:)

I've gotten the Elvis before ($8) and it was delicious but something I can make a home.  I ordered it without bacon.  

My husband ordered the burrito and loved it as well ($9).  Others at our table raved about the Chicken and the Pig, The BBQ pork, and The Cure sandwiches.  Everyone really liked their food.  

The Bricks really is a great spot on the 7th Avenue strip, perfect for late night people watching that make Ybor awesome and also out of the way enough to not feel like it's distinctly part of the Ybor scene.",Eastside,The Bricks,22.15,1.25,5.6,2,,Non-binary,Native American
oX3VSZ2WBLd-mKidL87Q5g,Guest_9272,05/19/2018,4.0,,Eastside,The Bricks,29.56,6.54,22.1,2,65+,,Other
eWzgGaazlADYOBS_hzFLtA,Guest_5020,2014-05-09,4.0,"Tasty place to grab a unique sandwich or something else with some tasty beer. I love the decor in this restaurant, as it seems to marry bricks, random tomfoolery, and nerdiness quite well. I've enjoyed most things there. The Bird and Pig was quite good as well as their veggie burger. They also have lots of theme nights, but I've never been to one.",Eastside,The Bricks,,5.94,25.1,2,,Female,Native American
QuLLvrwzNEizCRDiRPsVGQ,Guest_4090,02/12/2012,5.0,,Eastside,The Bricks,24.08,4.27,17.7,2,36-45,Prefer not to say,Caucasian
zGNexIUL8EG3_hTXpSY_Iw,Guest_3643,2014-05-09,4.0,,Eastside,The Bricks,,6.72,27.9,4,,Non-binary,Mixed
_aJ77lzyw1BhFqRU-wPwhA,,02.03.2012,4.0,fun place with a nice atmosphere. Ordered the Elvis which is a good sandwich with peanut butter honey bananana and bacon! it sounds weird but it was delicious.,Eastside,The Bricks,,4.9,29.5,2,26-35,,Native American
